"label","n","parent","id"
"Chile",117,"total -  Adventure","total -  Adventure  -  Chile"
"Chile",69,"total -  Animation","total -  Animation  -  Chile"
"Chile",3,"total -  Biography","total -  Biography  -  Chile"
"Chile",197,"total -  Comedy","total -  Comedy  -  Chile"
"Chile",97,"total -  Crime","total -  Crime  -  Chile"
"Chile",21,"total -  Documentary","total -  Documentary  -  Chile"
"Chile",322,"total -  Drama","total -  Drama  -  Chile"
"Chile",20,"total -  Family","total -  Family  -  Chile"
"Chile",21,"total -  Fantasy","total -  Fantasy  -  Chile"
"Chile",2,"total -  History","total -  History  -  Chile"
"Chile",23,"total -  Horror","total -  Horror  -  Chile"
"Chile",42,"total -  Music","total -  Music  -  Chile"
"Chile",40,"total -  Mystery","total -  Mystery  -  Chile"
"Chile",2,"total -  Reality TV","total -  Reality TV  -  Chile"
"Chile",116,"total -  Romance","total -  Romance  -  Chile"
"Chile",22,"total -  Sci Fi","total -  Sci Fi  -  Chile"
"Chile",6,"total -  Sport","total -  Sport  -  Chile"
"Chile",9,"total -  Talk Show","total -  Talk Show  -  Chile"
"Chile",62,"total -  Thriller","total -  Thriller  -  Chile"
"Chile",3,"total -  War","total -  War  -  Chile"
"Chile",5,"total -  Western","total -  Western  -  Chile"
"Colombia",142,"total -  Action","total -  Action  -  Colombia"
"Colombia",2,"total -  Adult","total -  Adult  -  Colombia"
"Colombia",112,"total -  Adventure","total -  Adventure  -  Colombia"
"Colombia",56,"total -  Animation","total -  Animation  -  Colombia"
"Colombia",3,"total -  Biography","total -  Biography  -  Colombia"
"Colombia",195,"total -  Comedy","total -  Comedy  -  Colombia"
"Colombia",109,"total -  Crime","total -  Crime  -  Colombia"
"Colombia",40,"total -  Documentary","total -  Documentary  -  Colombia"
"Colombia",282,"total -  Drama","total -  Drama  -  Colombia"
"Colombia",20,"total -  Family","total -  Family  -  Colombia"
"Colombia",23,"total -  Fantasy","total -  Fantasy  -  Colombia"
"Colombia",22,"total -  Horror","total -  Horror  -  Colombia"
"Colombia",19,"total -  Music","total -  Music  -  Colombia"
"Colombia",5,"total -  Musical","total -  Musical  -  Colombia"
"Colombia",41,"total -  Mystery","total -  Mystery  -  Colombia"
"Colombia",3,"total -  Reality TV","total -  Reality TV  -  Colombia"
"Colombia",107,"total -  Romance","total -  Romance  -  Colombia"
"Colombia",18,"total -  Sci Fi","total -  Sci Fi  -  Colombia"
"Colombia",5,"total -  Sport","total -  Sport  -  Colombia"
"Colombia",7,"total -  Talk Show","total -  Talk Show  -  Colombia"
"Colombia",74,"total -  Thriller","total -  Thriller  -  Colombia"
"Colombia",2,"total -  War","total -  War  -  Colombia"
"Colombia",5,"total -  Western","total -  Western  -  Colombia"
"Costa Rica",119,"total -  Action","total -  Action  -  Costa Rica"
"Costa Rica",2,"total -  Adult","total -  Adult  -  Costa Rica"
"Costa Rica",103,"total -  Adventure","total -  Adventure  -  Costa Rica"
"Costa Rica",55,"total -  Animation","total -  Animation  -  Costa Rica"
"Costa Rica",4,"total -  Biography","total -  Biography  -  Costa Rica"
"Costa Rica",203,"total -  Comedy","total -  Comedy  -  Costa Rica"
"Costa Rica",96,"total -  Crime","total -  Crime  -  Costa Rica"
"Costa Rica",26,"total -  Documentary","total -  Documentary  -  Costa Rica"
"Costa Rica",318,"total -  Drama","total -  Drama  -  Costa Rica"
"Costa Rica",21,"total -  Family","total -  Family  -  Costa Rica"
"Costa Rica",21,"total -  Fantasy","total -  Fantasy  -  Costa Rica"
"Costa Rica",1,"total -  Game Show","total -  Game Show  -  Costa Rica"
"Costa Rica",22,"total -  Horror","total -  Horror  -  Costa Rica"
"Costa Rica",34,"total -  Music","total -  Music  -  Costa Rica"
"Costa Rica",1,"total -  Musical","total -  Musical  -  Costa Rica"
"Costa Rica",37,"total -  Mystery","total -  Mystery  -  Costa Rica"
"Costa Rica",4,"total -  Reality TV","total -  Reality TV  -  Costa Rica"
"Costa Rica",129,"total -  Romance","total -  Romance  -  Costa Rica"
"Costa Rica",19,"total -  Sci Fi","total -  Sci Fi  -  Costa Rica"
"Costa Rica",8,"total -  Sport","total -  Sport  -  Costa Rica"
"Costa Rica",7,"total -  Talk Show","total -  Talk Show  -  Costa Rica"
"Costa Rica",68,"total -  Thriller","total -  Thriller  -  Costa Rica"
"Costa Rica",2,"total -  War","total -  War  -  Costa Rica"
"Costa Rica",4,"total -  Western","total -  Western  -  Costa Rica"
"Croatia",162,"total -  Action","total -  Action  -  Croatia"
"Croatia",3,"total -  Adult","total -  Adult  -  Croatia"
"Croatia",116,"total -  Adventure","total -  Adventure  -  Croatia"
"Croatia",51,"total -  Animation","total -  Animation  -  Croatia"
"Croatia",7,"total -  Biography","total -  Biography  -  Croatia"
"Croatia",208,"total -  Comedy","total -  Comedy  -  Croatia"
"Croatia",133,"total -  Crime","total -  Crime  -  Croatia"
"Croatia",39,"total -  Documentary","total -  Documentary  -  Croatia"
"Croatia",292,"total -  Drama","total -  Drama  -  Croatia"
"Croatia",30,"total -  Family","total -  Family  -  Croatia"
"Croatia",25,"total -  Fantasy","total -  Fantasy  -  Croatia"
"Croatia",10,"total -  Game Show","total -  Game Show  -  Croatia"
"Croatia",2,"total -  History","total -  History  -  Croatia"
"Croatia",14,"total -  Horror","total -  Horror  -  Croatia"
"Croatia",8,"total -  Music","total -  Music  -  Croatia"
"Croatia",43,"total -  Mystery","total -  Mystery  -  Croatia"
"Croatia",14,"total -  Reality TV","total -  Reality TV  -  Croatia"
"Croatia",89,"total -  Romance","total -  Romance  -  Croatia"
"Croatia",21,"total -  Sci Fi","total -  Sci Fi  -  Croatia"
"Croatia",13,"total -  Sport","total -  Sport  -  Croatia"
"Croatia",12,"total -  Talk Show","total -  Talk Show  -  Croatia"
"Croatia",66,"total -  Thriller","total -  Thriller  -  Croatia"
"Croatia",4,"total -  War","total -  War  -  Croatia"
"Croatia",5,"total -  Western","total -  Western  -  Croatia"
"Cyprus",199,"total -  Action","total -  Action  -  Cyprus"
"Cyprus",3,"total -  Adult","total -  Adult  -  Cyprus"
"Cyprus",139,"total -  Adventure","total -  Adventure  -  Cyprus"
"Cyprus",45,"total -  Animation","total -  Animation  -  Cyprus"
"Cyprus",5,"total -  Biography","total -  Biography  -  Cyprus"
"Cyprus",186,"total -  Comedy","total -  Comedy  -  Cyprus"
"Cyprus",127,"total -  Crime","total -  Crime  -  Cyprus"
"Cyprus",27,"total -  Documentary","total -  Documentary  -  Cyprus"
"Cyprus",331,"total -  Drama","total -  Drama  -  Cyprus"
"Cyprus",32,"total -  Family","total -  Family  -  Cyprus"
"Cyprus",27,"total -  Fantasy","total -  Fantasy  -  Cyprus"
"Cyprus",8,"total -  Game Show","total -  Game Show  -  Cyprus"
"Cyprus",3,"total -  History","total -  History  -  Cyprus"
"Cyprus",17,"total -  Horror","total -  Horror  -  Cyprus"
"Cyprus",5,"total -  Music","total -  Music  -  Cyprus"
"Cyprus",1,"total -  Musical","total -  Musical  -  Cyprus"
"Cyprus",48,"total -  Mystery","total -  Mystery  -  Cyprus"
"Cyprus",12,"total -  Reality TV","total -  Reality TV  -  Cyprus"
"Cyprus",85,"total -  Romance","total -  Romance  -  Cyprus"
"Cyprus",51,"total -  Sci Fi","total -  Sci Fi  -  Cyprus"
"Cyprus",9,"total -  Sport","total -  Sport  -  Cyprus"
"Cyprus",11,"total -  Talk Show","total -  Talk Show  -  Cyprus"
"Cyprus",59,"total -  Thriller","total -  Thriller  -  Cyprus"
"Cyprus",5,"total -  War","total -  War  -  Cyprus"
"Cyprus",1,"total -  Western","total -  Western  -  Cyprus"
"Czech Republic",194,"total -  Action","total -  Action  -  Czech Republic"
"Czech Republic",7,"total -  Adult","total -  Adult  -  Czech Republic"
"Czech Republic",152,"total -  Adventure","total -  Adventure  -  Czech Republic"
"Czech Republic",81,"total -  Animation","total -  Animation  -  Czech Republic"
"Czech Republic",12,"total -  Biography","total -  Biography  -  Czech Republic"
"Czech Republic",187,"total -  Comedy","total -  Comedy  -  Czech Republic"
"Czech Republic",132,"total -  Crime","total -  Crime  -  Czech Republic"
"Czech Republic",33,"total -  Documentary","total -  Documentary  -  Czech Republic"
"Czech Republic",295,"total -  Drama","total -  Drama  -  Czech Republic"
"Czech Republic",26,"total -  Family","total -  Family  -  Czech Republic"
"Czech Republic",48,"total -  Fantasy","total -  Fantasy  -  Czech Republic"
"Czech Republic",12,"total -  Game Show","total -  Game Show  -  Czech Republic"
"Czech Republic",4,"total -  History","total -  History  -  Czech Republic"
"Czech Republic",25,"total -  Horror","total -  Horror  -  Czech Republic"
"Czech Republic",4,"total -  Music","total -  Music  -  Czech Republic"
"Czech Republic",55,"total -  Mystery","total -  Mystery  -  Czech Republic"
"Czech Republic",16,"total -  Reality TV","total -  Reality TV  -  Czech Republic"
"Czech Republic",67,"total -  Romance","total -  Romance  -  Czech Republic"
"Czech Republic",18,"total -  Sci Fi","total -  Sci Fi  -  Czech Republic"
"Czech Republic",11,"total -  Sport","total -  Sport  -  Czech Republic"
"Czech Republic",10,"total -  Talk Show","total -  Talk Show  -  Czech Republic"
"Czech Republic",49,"total -  Thriller","total -  Thriller  -  Czech Republic"
"Czech Republic",3,"total -  War","total -  War  -  Czech Republic"
"Czech Republic",4,"total -  Western","total -  Western  -  Czech Republic"
"Denmark",179,"total -  Action","total -  Action  -  Denmark"
"Denmark",2,"total -  Adult","total -  Adult  -  Denmark"
