"id","n","label","parent"
"total -  Adventure  -  Guatemala","105","Guatemala","total -  Adventure"
"total -  Animation  -  Guatemala","59","Guatemala","total -  Animation"
"total -  Comedy  -  Guatemala","202","Guatemala","total -  Comedy"
"total -  Crime  -  Guatemala","93","Guatemala","total -  Crime"
"total -  Drama  -  Guatemala","295","Guatemala","total -  Drama"
"total -  Music  -  Guatemala","34","Guatemala","total -  Music"
"total -  Mystery  -  Guatemala","38","Guatemala","total -  Mystery"
"total -  Romance  -  Guatemala","114","Guatemala","total -  Romance"
"total -  Thriller  -  Guatemala","60","Guatemala","total -  Thriller"
"total -  Action  -  Honduras","128","Honduras","total -  Action"
"total -  Adventure  -  Honduras","91","Honduras","total -  Adventure"
"total -  Animation  -  Honduras","43","Honduras","total -  Animation"
"total -  Comedy  -  Honduras","190","Honduras","total -  Comedy"
"total -  Crime  -  Honduras","105","Honduras","total -  Crime"
"total -  Drama  -  Honduras","306","Honduras","total -  Drama"
"total -  Music  -  Honduras","34","Honduras","total -  Music"
"total -  Mystery  -  Honduras","39","Honduras","total -  Mystery"
"total -  Romance  -  Honduras","120","Honduras","total -  Romance"
"total -  Thriller  -  Honduras","66","Honduras","total -  Thriller"
"total -  Action  -  Hong Kong","233","Hong Kong","total -  Action"
"total -  Adventure  -  Hong Kong","123","Hong Kong","total -  Adventure"
"total -  Comedy  -  Hong Kong","151","Hong Kong","total -  Comedy"
"total -  Crime  -  Hong Kong","113","Hong Kong","total -  Crime"
"total -  Drama  -  Hong Kong","326","Hong Kong","total -  Drama"
"total -  Fantasy  -  Hong Kong","42","Hong Kong","total -  Fantasy"
"total -  Mystery  -  Hong Kong","75","Hong Kong","total -  Mystery"
"total -  Romance  -  Hong Kong","114","Hong Kong","total -  Romance"
"total -  Sci Fi  -  Hong Kong","71","Hong Kong","total -  Sci Fi"
"total -  Thriller  -  Hong Kong","70","Hong Kong","total -  Thriller"
"total -  Action  -  Hungary","187","Hungary","total -  Action"
"total -  Adventure  -  Hungary","126","Hungary","total -  Adventure"
"total -  Animation  -  Hungary","64","Hungary","total -  Animation"
"total -  Comedy  -  Hungary","194","Hungary","total -  Comedy"
"total -  Crime  -  Hungary","154","Hungary","total -  Crime"
"total -  Drama  -  Hungary","313","Hungary","total -  Drama"
"total -  Fantasy  -  Hungary","42","Hungary","total -  Fantasy"
"total -  Mystery  -  Hungary","50","Hungary","total -  Mystery"
"total -  Romance  -  Hungary","89","Hungary","total -  Romance"
"total -  Thriller  -  Hungary","65","Hungary","total -  Thriller"
"total -  Action  -  Iceland","176","Iceland","total -  Action"
"total -  Adventure  -  Iceland","129","Iceland","total -  Adventure"
"total -  Animation  -  Iceland","49","Iceland","total -  Animation"
"total -  Comedy  -  Iceland","191","Iceland","total -  Comedy"
"total -  Crime  -  Iceland","131","Iceland","total -  Crime"
"total -  Documentary  -  Iceland","42","Iceland","total -  Documentary"
"total -  Drama  -  Iceland","281","Iceland","total -  Drama"
"total -  Mystery  -  Iceland","50","Iceland","total -  Mystery"
"total -  Romance  -  Iceland","77","Iceland","total -  Romance"
"total -  Thriller  -  Iceland","58","Iceland","total -  Thriller"
"total -  Action  -  India","256","India","total -  Action"
"total -  Adventure  -  India","73","India","total -  Adventure"
"total -  Comedy  -  India","197","India","total -  Comedy"
"total -  Crime  -  India","216","India","total -  Crime"
"total -  Drama  -  India","382","India","total -  Drama"
"total -  Fantasy  -  India","44","India","total -  Fantasy"
"total -  Horror  -  India","23","India","total -  Horror"
"total -  Mystery  -  India","76","India","total -  Mystery"
"total -  Romance  -  India","88","India","total -  Romance"
"total -  Thriller  -  India","72","India","total -  Thriller"
"total -  Action  -  Indonesia","215","Indonesia","total -  Action"
"total -  Adventure  -  Indonesia","90","Indonesia","total -  Adventure"
"total -  Comedy  -  Indonesia","179","Indonesia","total -  Comedy"
"total -  Crime  -  Indonesia","145","Indonesia","total -  Crime"
"total -  Drama  -  Indonesia","311","Indonesia","total -  Drama"
"total -  Fantasy  -  Indonesia","37","Indonesia","total -  Fantasy"
"total -  Horror  -  Indonesia","37","Indonesia","total -  Horror"
"total -  Mystery  -  Indonesia","74","Indonesia","total -  Mystery"
