"parents","n","labels","id"
"Costa Rica",37," Mystery","Costa Rica  -   Mystery"
"Costa Rica",4," Reality TV","Costa Rica  -   Reality TV"
"Costa Rica",129," Romance","Costa Rica  -   Romance"
"Costa Rica",19," Sci Fi","Costa Rica  -   Sci Fi"
"Costa Rica",8," Sport","Costa Rica  -   Sport"
"Costa Rica",7," Talk Show","Costa Rica  -   Talk Show"
"Costa Rica",68," Thriller","Costa Rica  -   Thriller"
"Costa Rica",2," War","Costa Rica  -   War"
"Costa Rica",4," Western","Costa Rica  -   Western"
"Croatia",162," Action","Croatia  -   Action"
"Croatia",3," Adult","Croatia  -   Adult"
"Croatia",116," Adventure","Croatia  -   Adventure"
"Croatia",51," Animation","Croatia  -   Animation"
"Croatia",7," Biography","Croatia  -   Biography"
"Croatia",208," Comedy","Croatia  -   Comedy"
"Croatia",133," Crime","Croatia  -   Crime"
"Croatia",39," Documentary","Croatia  -   Documentary"
"Croatia",292," Drama","Croatia  -   Drama"
"Croatia",30," Family","Croatia  -   Family"
"Croatia",25," Fantasy","Croatia  -   Fantasy"
"Croatia",10," Game Show","Croatia  -   Game Show"
"Croatia",2," History","Croatia  -   History"
"Croatia",14," Horror","Croatia  -   Horror"
"Croatia",8," Music","Croatia  -   Music"
"Croatia",43," Mystery","Croatia  -   Mystery"
"Croatia",14," Reality TV","Croatia  -   Reality TV"
"Croatia",89," Romance","Croatia  -   Romance"
"Croatia",21," Sci Fi","Croatia  -   Sci Fi"
"Croatia",13," Sport","Croatia  -   Sport"
"Croatia",12," Talk Show","Croatia  -   Talk Show"
"Croatia",66," Thriller","Croatia  -   Thriller"
"Croatia",4," War","Croatia  -   War"
"Croatia",5," Western","Croatia  -   Western"
"Cyprus",199," Action","Cyprus  -   Action"
"Cyprus",3," Adult","Cyprus  -   Adult"
"Cyprus",139," Adventure","Cyprus  -   Adventure"
"Cyprus",45," Animation","Cyprus  -   Animation"
"Cyprus",5," Biography","Cyprus  -   Biography"
"Cyprus",186," Comedy","Cyprus  -   Comedy"
"Cyprus",127," Crime","Cyprus  -   Crime"
"Cyprus",27," Documentary","Cyprus  -   Documentary"
"Cyprus",331," Drama","Cyprus  -   Drama"
"Cyprus",32," Family","Cyprus  -   Family"
"Cyprus",27," Fantasy","Cyprus  -   Fantasy"
"Cyprus",8," Game Show","Cyprus  -   Game Show"
"Cyprus",3," History","Cyprus  -   History"
"Cyprus",17," Horror","Cyprus  -   Horror"
"Cyprus",5," Music","Cyprus  -   Music"
"Cyprus",1," Musical","Cyprus  -   Musical"
"Cyprus",48," Mystery","Cyprus  -   Mystery"
"Cyprus",12," Reality TV","Cyprus  -   Reality TV"
"Cyprus",85," Romance","Cyprus  -   Romance"
"Cyprus",51," Sci Fi","Cyprus  -   Sci Fi"
"Cyprus",9," Sport","Cyprus  -   Sport"
"Cyprus",11," Talk Show","Cyprus  -   Talk Show"
"Cyprus",59," Thriller","Cyprus  -   Thriller"
"Cyprus",5," War","Cyprus  -   War"
"Cyprus",1," Western","Cyprus  -   Western"
"Czech Republic",194," Action","Czech Republic  -   Action"
"Czech Republic",7," Adult","Czech Republic  -   Adult"
"Czech Republic",152," Adventure","Czech Republic  -   Adventure"
"Czech Republic",81," Animation","Czech Republic  -   Animation"
"Czech Republic",12," Biography","Czech Republic  -   Biography"
"Czech Republic",187," Comedy","Czech Republic  -   Comedy"
"Czech Republic",132," Crime","Czech Republic  -   Crime"
"Czech Republic",33," Documentary","Czech Republic  -   Documentary"
"Czech Republic",295," Drama","Czech Republic  -   Drama"
"Czech Republic",26," Family","Czech Republic  -   Family"
"Czech Republic",48," Fantasy","Czech Republic  -   Fantasy"
"Czech Republic",12," Game Show","Czech Republic  -   Game Show"
"Czech Republic",4," History","Czech Republic  -   History"
"Czech Republic",25," Horror","Czech Republic  -   Horror"
"Czech Republic",4," Music","Czech Republic  -   Music"
"Czech Republic",55," Mystery","Czech Republic  -   Mystery"
"Czech Republic",16," Reality TV","Czech Republic  -   Reality TV"
"Czech Republic",67," Romance","Czech Republic  -   Romance"
"Czech Republic",18," Sci Fi","Czech Republic  -   Sci Fi"
"Czech Republic",11," Sport","Czech Republic  -   Sport"
"Czech Republic",10," Talk Show","Czech Republic  -   Talk Show"
"Czech Republic",49," Thriller","Czech Republic  -   Thriller"
"Czech Republic",3," War","Czech Republic  -   War"
"Czech Republic",4," Western","Czech Republic  -   Western"
"Denmark",179," Action","Denmark  -   Action"
"Denmark",2," Adult","Denmark  -   Adult"
"Denmark",124," Adventure","Denmark  -   Adventure"
"Denmark",55," Animation","Denmark  -   Animation"
"Denmark",16," Biography","Denmark  -   Biography"
"Denmark",183," Comedy","Denmark  -   Comedy"
"Denmark",141," Crime","Denmark  -   Crime"
"Denmark",33," Documentary","Denmark  -   Documentary"
"Denmark",314," Drama","Denmark  -   Drama"
"Denmark",21," Family","Denmark  -   Family"
"Denmark",40," Fantasy","Denmark  -   Fantasy"
"Denmark",9," Game Show","Denmark  -   Game Show"
"Denmark",7," History","Denmark  -   History"
"Denmark",22," Horror","Denmark  -   Horror"
"Denmark",5," Music","Denmark  -   Music"
"Denmark",48," Mystery","Denmark  -   Mystery"
"Denmark",21," Reality TV","Denmark  -   Reality TV"
"Denmark",87," Romance","Denmark  -   Romance"
"Denmark",25," Sci Fi","Denmark  -   Sci Fi"
"Denmark",10," Sport","Denmark  -   Sport"
"Denmark",7," Talk Show","Denmark  -   Talk Show"
"Denmark",58," Thriller","Denmark  -   Thriller"
"Denmark",10," War","Denmark  -   War"
"Denmark",11," Western","Denmark  -   Western"
"Dominican Republic",172," Action","Dominican Republic  -   Action"
"Dominican Republic",3," Adult","Dominican Republic  -   Adult"
"Dominican Republic",112," Adventure","Dominican Republic  -   Adventure"
"Dominican Republic",46," Animation","Dominican Republic  -   Animation"
"Dominican Republic",3," Biography","Dominican Republic  -   Biography"
"Dominican Republic",154," Comedy","Dominican Republic  -   Comedy"
"Dominican Republic",119," Crime","Dominican Republic  -   Crime"
"Dominican Republic",17," Documentary","Dominican Republic  -   Documentary"
"Dominican Republic",284," Drama","Dominican Republic  -   Drama"
"Dominican Republic",19," Family","Dominican Republic  -   Family"
"Dominican Republic",31," Fantasy","Dominican Republic  -   Fantasy"
"Dominican Republic",2," Game Show","Dominican Republic  -   Game Show"
"Dominican Republic",1," History","Dominican Republic  -   History"
"Dominican Republic",24," Horror","Dominican Republic  -   Horror"
"Dominican Republic",34," Music","Dominican Republic  -   Music"
"Dominican Republic",2," Musical","Dominican Republic  -   Musical"
"Dominican Republic",37," Mystery","Dominican Republic  -   Mystery"
"Dominican Republic",3," Reality TV","Dominican Republic  -   Reality TV"
"Dominican Republic",82," Romance","Dominican Republic  -   Romance"
"Dominican Republic",23," Sci Fi","Dominican Republic  -   Sci Fi"
"Dominican Republic",7," Sport","Dominican Republic  -   Sport"
"Dominican Republic",5," Talk Show","Dominican Republic  -   Talk Show"
"Dominican Republic",76," Thriller","Dominican Republic  -   Thriller"
"Dominican Republic",2," War","Dominican Republic  -   War"
"Dominican Republic",5," Western","Dominican Republic  -   Western"
"Ecuador",141," Action","Ecuador  -   Action"
"Ecuador",3," Adult","Ecuador  -   Adult"
"Ecuador",119," Adventure","Ecuador  -   Adventure"
"Ecuador",65," Animation","Ecuador  -   Animation"
"Ecuador",1," Biography","Ecuador  -   Biography"
"Ecuador",205," Comedy","Ecuador  -   Comedy"
"Ecuador",88," Crime","Ecuador  -   Crime"
"Ecuador",19," Documentary","Ecuador  -   Documentary"
"Ecuador",268," Drama","Ecuador  -   Drama"
"Ecuador",16," Family","Ecuador  -   Family"
"Ecuador",25," Fantasy","Ecuador  -   Fantasy"
"Ecuador",23," Horror","Ecuador  -   Horror"
"Ecuador",35," Music","Ecuador  -   Music"
"Ecuador",2," Musical","Ecuador  -   Musical"
"Ecuador",34," Mystery","Ecuador  -   Mystery"
"Ecuador",3," Reality TV","Ecuador  -   Reality TV"
"Ecuador",98," Romance","Ecuador  -   Romance"
"Ecuador",23," Sci Fi","Ecuador  -   Sci Fi"
"Ecuador",7," Sport","Ecuador  -   Sport"
"Ecuador",5," Talk Show","Ecuador  -   Talk Show"
"Ecuador",64," Thriller","Ecuador  -   Thriller"
"Ecuador",2," War","Ecuador  -   War"
"Ecuador",3," Western","Ecuador  -   Western"
"Egypt",183," Action","Egypt  -   Action"
"Egypt",5," Adult","Egypt  -   Adult"
"Egypt",112," Adventure","Egypt  -   Adventure"
"Egypt",31," Animation","Egypt  -   Animation"
"Egypt",9," Biography","Egypt  -   Biography"
"Egypt",162," Comedy","Egypt  -   Comedy"
"Egypt",113," Crime","Egypt  -   Crime"
"Egypt",18," Documentary","Egypt  -   Documentary"
"Egypt",336," Drama","Egypt  -   Drama"
"Egypt",17," Family","Egypt  -   Family"
"Egypt",38," Fantasy","Egypt  -   Fantasy"
"Egypt",4," Game Show","Egypt  -   Game Show"
"Egypt",5," History","Egypt  -   History"
"Egypt",27," Horror","Egypt  -   Horror"
"Egypt",4," Music","Egypt  -   Music"
"Egypt",1," Musical","Egypt  -   Musical"
"Egypt",43," Mystery","Egypt  -   Mystery"
"Egypt",6," Reality TV","Egypt  -   Reality TV"
"Egypt",96," Romance","Egypt  -   Romance"
"Egypt",33," Sci Fi","Egypt  -   Sci Fi"
"Egypt",3," Sport","Egypt  -   Sport"
"Egypt",12," Talk Show","Egypt  -   Talk Show"
"Egypt",70," Thriller","Egypt  -   Thriller"
"Egypt",3," War","Egypt  -   War"
"Egypt",2," Western","Egypt  -   Western"
"El Salvador",134," Action","El Salvador  -   Action"
"El Salvador",2," Adult","El Salvador  -   Adult"
"El Salvador",107," Adventure","El Salvador  -   Adventure"
"El Salvador",60," Animation","El Salvador  -   Animation"
"El Salvador",1," Biography","El Salvador  -   Biography"
"El Salvador",188," Comedy","El Salvador  -   Comedy"
"El Salvador",102," Crime","El Salvador  -   Crime"
"El Salvador",20," Documentary","El Salvador  -   Documentary"
"El Salvador",288," Drama","El Salvador  -   Drama"
"El Salvador",14," Family","El Salvador  -   Family"
"El Salvador",20," Fantasy","El Salvador  -   Fantasy"
"El Salvador",19," Horror","El Salvador  -   Horror"
"El Salvador",32," Music","El Salvador  -   Music"
"El Salvador",1," Musical","El Salvador  -   Musical"
"El Salvador",35," Mystery","El Salvador  -   Mystery"
"El Salvador",2," Reality TV","El Salvador  -   Reality TV"
"El Salvador",105," Romance","El Salvador  -   Romance"
"El Salvador",22," Sci Fi","El Salvador  -   Sci Fi"
"El Salvador",8," Sport","El Salvador  -   Sport"
"El Salvador",5," Talk Show","El Salvador  -   Talk Show"
"El Salvador",63," Thriller","El Salvador  -   Thriller"
"El Salvador",2," War","El Salvador  -   War"
"El Salvador",3," Western","El Salvador  -   Western"
"Estonia",185," Action","Estonia  -   Action"
"Estonia",3," Adult","Estonia  -   Adult"
"Estonia",127," Adventure","Estonia  -   Adventure"
"Estonia",51," Animation","Estonia  -   Animation"
"Estonia",10," Biography","Estonia  -   Biography"
"Estonia",203," Comedy","Estonia  -   Comedy"
"Estonia",112," Crime","Estonia  -   Crime"
"Estonia",22," Documentary","Estonia  -   Documentary"
"Estonia",277," Drama","Estonia  -   Drama"
"Estonia",24," Family","Estonia  -   Family"
"Estonia",38," Fantasy","Estonia  -   Fantasy"
"Estonia",8," Game Show","Estonia  -   Game Show"
